Entity,BiType,Type,Shape,Color,Type.Name,Grouped.Sectors,Loc.Reg.All,Loc.Reg.Gov,Date of Proj Inception,Date of Proj Completion,Project.Age,Central ,Regional Central,Local Central, Organization,None,All counties,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,Online Only,Sum Counties,Classified,Spatial Scale
1AND,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Asian Neighborhood Design,,,,,,,1,,,,,,1,1,1
1AndaPR,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,AndaPR,,1,,,,,,,,,,,9,1,9
1APEN,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Asian Pacific Environmental Network,,,1,1,,,,,,,,,2,1,2
1ARC,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,ARC Alternatives,,1,,,,,,,,,,,9,1,9
1Arcadis,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Arcadis,,,1,,,,1,,,,,,2,1,2
1Arntz,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Arntz Familiy Foundation,,,1,,1,,1,,,,1,,4,1,4
1AT&T,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,AT&T,,,1,1,1,1,1,1,1,1,1,,9,1,9
1ATR,1,8,50,,Consultants,Non-Government,Local,Non-Government,,,,,,,AltaTerra Research,,,,,,,,,1,,,,1,1,1
1AudubonRB,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Richardson Bay Audubon Center & Sanctuary,,,,,1,,,,,,,,1,1,1
1AudubonSCV,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Santa Clara Valley Audubon Society,,,,,,,,,1,,,,1,1,1
1Aurora,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Aurora School,,,1,,,,,,,,,,1,1,1
1Autodesk,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Autodesk,,,,,1,,,,,,,,1,1,1
1BAAQMD,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Bay Area Air Quality Management District,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BAC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Bay Area Council,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BAC EI,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Bay Area Council - Economic Institute,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BACC,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Bay Area Climate Collaborative,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BACLT,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Bay Area Community Land Trust,,,1,,,,,,,,,,1,1,1
1BACRDR,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Bay Area Center for Regional Disaster Resilience,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BACWA,1,7,50,,Government-Joint Powers,Government-Regional,Regional,Regional Government,,,,,,,Bay Area Clean Water Agencies,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BAECCC,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Bay Area Ecosystems Cimate Change Consortium,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BAFPAA,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Bay Area Flood Protection Agencies Association,,,1,1,1,1,,1,1,1,1,,8,1,8
1BakerCent,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Ella Baker Center for Human Rights,,,1,,,,,,,,,,1,1,1
1BAOSC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Bay Area Open Space Council,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BAPURA,1,15,50,,Other,Non-Government,Regional,Non-Government,,,,,,,BAPURA,,1,,,,,,,,,,,9,,9
1BARC,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Bay Area Regional Collaborative,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BART,1,6,50,,Government-Special Districts,Regional Government,Regional,Regional Government,,,,,,,Bay Area Rapid Transit,,,1,1,,,1,1,,,,,4,1,4
1BAWAC,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Bay Area Water Agencies Coalition,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BAWSCA,1,6,50,,Water Districts,Regional Government,Regional,Regional Government,,,,,,,Bay Area Water Supply and Conservation Agency,,,1,,,,,1,1,,,,3,1,3
1Bay880,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Bay Area Healthy 880 Communities,,,1,,,,,,,,,,1,1,1
1BayerCorp,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Bayer Corporation,,1,,,,,,,,,,,9,1,9
1BayInst,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,The Bay Institute and Aquarium of the Bay,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BayLocal,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Bay Localize,,,1,1,,,,,,,,,2,1,2
1BayTrail,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Bay Trail,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BBD,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Benicia Building Division,,,,,,,,,,1,,,1,1,1
1BCAC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Berkeley Climate Action Coalition,,,1,,,,,,,,,,1,1,1
1BCDC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,BCDC,BCDC,,San Francisco Bay Conservation and Development Commission,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BDP,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Brightline Defense Project,,,,,,,1,,,,,,1,1,1
1BDPNN,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Berkeley Disaster Preparedness Neighborhood Network,,,1,,,,,,,,,,1,1,1
1BDS,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Beacon Day School,,,1,,,,,,,,,,1,1,1
1BeachChalet,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,BeachChalet,,,,,,,1,,,,,,1,1,1
1Bechtel,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,S.D. Bechtel Jr. Foundation,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BEDD,1,1,50,,Government-County,Government-County,Local,Local Government,,,,,,,Benicia Economic Development Department,,,,,,,,,,1,,,1,1,1
1BerkLab,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Berkeley Lab,,,1,,,,,,,,,,1,1,1
1BerkSchool,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Berkeley Unified School District,,,1,,,,,,,,,,1,1,1
1BIA,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Building Industry Association,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BMKeysCSD,1,6,50,,Government-Special Districts,Local Government,Local,Local Government,,,,,,,Bel Marin Keys Community Services District,,,,,1,,,,,,,,1,1,1
1BofA,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Bank of America,,1,,,,,,,,,,,9,1,9
1BOITF,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,Berkeley Oil Independence Task Force,,,1,,,,,,,,,,1,1,1
1BOR,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,Bureau of Reclamation,,,1,1,1,1,1,1,1,1,1,,9,1,9
1BPC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Bay Planning Coalition,,1,,,,,,,,,,,9,1,9
1BPWA,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Berkeley Path Wanderers Association,,,1,,,,,,,,,,1,1,1
1Brattle,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,The Brattle Group,,1,,,,,,,,,,,9,1,9
1Breakthrough,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Breakthrough Communities,,,1,,,,1,,,,,,2,1,2
1Brelje,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Brelje & Race,,1,,,,,,,,,,,9,1,9
1Bridge,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Bridge Housing,,1,,,,,,,,,,,9,1,9
1Bridgelux,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Bridgelux,,,1,,,,,,,,,,1,1,1
1BSB,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Beneficial State Bank,,1,,,,,,,,,,,9,1,9
1BSG,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,"Berkeley Sourcing Group, LLC",,1,,,,,,,,,,,9,1,9
1BurHouse,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Burbank Housing,,,,,,,,,,,1,,1,1,1
1BUSD,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Benicia Unified School District,,,,,,,,,,1,,,1,1,1
1CAConsCorp,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Conservation Corps,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CADC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Department of Conservation,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CalAcademy,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,California Academy of Sciences,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CALCC,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,California Landscape Conservation Cooperative,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CalCSD,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Department of Community Services and Development,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CalEPA,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Environmental Protection Agency,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CALFIRE,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,CALFIRE,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CalHealth,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Department of Public Health,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CalParks,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California State Parks,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CalTrans,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,CalTrans,,California Department of Transportation,,1,1,1,1,1,1,1,1,1,1,,9,1,9
1CanalWelcome,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Canal Welcome Center,,,,,1,,,,,,,,1,1,1
1CAP,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Citizens Against Pollution,,1,,,,,,,,,,,9,1,9
1CapitolJPA,1,7,50,,Government-Joint Powers,Regional Government,Regional,Regional Government,,,,,,,Capitol Corridor Joint Powers Authority,,,,1,,,,,,1,,,2,1,2
1CapPlan,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Capital Planning Committee,,,1,,,,,,,,,,1,1,1
1Cargill ,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Cargill Salt,,,,,,,1,,1,1,,,3,1,3
1CBDA,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Bay-Delta Authority,,1,,,,,,,,,,,9,1,9
1CBI,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,Conservation Biology Institute,,1,,,,,,,,,,,9,1,9
1CC,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Culture Change,,1,,,,,,,,,,,9,1,9
1CCAG,1,2,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,City and County Association of Governments,,1,,,,,,,,,,,9,1,9
1CCBA,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Climate Corps Bay Area,,1,,,,,,,,,,,9,1,9
1CCCFlood,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Contra Costa County Flood Control and Water Conservation District,,,,1,,,,,,,,,1,1,1
1CCCMVC,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Contra Costa County Mosquito and Vector Control,,,,1,,,,,,,,,1,1,1
1CCCR,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Citizens Committee to Complete the Refuge,,,1,,,,,1,1,,,,3,1,3
1CCDE,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,"Center for Community, Democracy and Ecology (CCDE)",,1,,,,,,,,,,,9,1,9
1CCDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Contra Costa County Public Health Department,,,,1,,,,,,,,,1,1,1
1CCEO,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,Creekside Center for Earth Observation,,1,,,,,,,,,,,9,1,9
1CCEP,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Contra Costa Economic Partnership,,,,1,,,,,,,,,1,1,1
1CCKA,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,California Coastkeeper Alliance,,1,,,,,,,,,,,9,1,9
1CCP,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Center for Climate Protection,,1,,,,,,,,,,,9,1,9
1CCRS,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Coyote Creek Riparian Station,,,,,,,,,1,,,,1,1,1
1CCTA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Contra Costa Transportation Authority,,,,1,,,,,,,,,1,1,1
1CCWD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Contra Costa Water District,,,,1,,,,,,,,,1,1,1
1CDBG,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Department of Housing and Community ...,,1,,,,,,,,,,,9,1,9
1CDC,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,Center for Disease Control,,1,,,,,,,,,,,9,1,9
1CDFW,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,CDFW,,California Department of Fish and Wildlife,,1,,,,,,,,,,,9,1,9
1CEC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Energy Commission,,1,,,,,,,,,,,9,1,9
1CentSE,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Center for Safe Energy,,1,,,,,,,,,,,9,1,9
1CESolar,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Cool Earth Solar,,1,,,,,,,,,,,9,1,9
1CET,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Center for Employment Training,,,,,,,,,1,,,,1,1,1
1CFBA,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,California Farm Bureau Association,,1,,,,,,,,,,,9,1,9
1CfBE,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Communities For a Better Environment,,,1,,,,,,,,,,1,1,1
1CFC,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Clean Fuels Connection,,1,,,,,,,,,,,9,1,9
1CFSC,1,13,50,,Foundations and Banks,Non-Government,Local,Non-Government,,,,,,,Community Foundation Sonoma County,,,,,,,,,,,1,,1,1,1
1CGF,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Committee for Green Foothills,,,,,,,,1,1,,,,2,1,2
1CGS,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Geologic Survey,,1,,,,,,,,,,,9,1,9
1CH2M,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,CH2M Hill,,1,,,,,,,,,,,9,1,9
1CHARG,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,CHARG Network,,1,,,,,,,,,,,9,1,9
1ChargeP,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,ChargePoint,,1,,,,,,,,,,,9,1,9
1CHDCNR,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Community Housing Development Corporation of North Richmond,,,,1,,,,,,,,,1,1,1
1Chevron,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Chevron,,1,,,,,,,,,,,9,1,9
1CirclePoint,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,CirclePoint,,1,,,,,,,,,,,9,1,9
1CISE,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Cal Inflector-Sun Energy,,1,,,,,,,,,,,9,1,9
1City Co of SF,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City and County of San Francisco,,,,,,,1,,,,,,1,1,1
1City of Alameda,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Alameda,,,1,,,,,,,,,,1,1,1
1City of Albany,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Albany,,,1,,,,,,,,,,1,1,1
1City of Belvedere,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Belvedere,,,,,1,,,,,,,,1,1,1
1City of Benicia,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Benicia,,,,,,,,,,1,,,1,1,1
1City of Berkeley,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Berkeley,,,1,,,,,,,,,,1,1,1
1City of Campbell,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Campbell,,,,,,,,,1,,,,1,1,1
1City of Clayton,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Clayton,,,,1,,,,,,,,,1,1,1
1City of Cloverdale,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Cloverdale,,,,,,,,,,,1,,1,1,1
1City of Concord,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Concord,,,,1,,,,,,,,,1,1,1
1City of Corte Madera,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Corte Madera,,,,,1,,,,,,,,1,1,1
1City of Cotati,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Cotati,,,,,,,,,,,1,,1,1,1
1City of Cupertino,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Cupertino,,,,,,,,,1,,,,1,1,1
1City of Daly City,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Daly City,,,,,,,,1,,,,,1,1,1
1City of Dublin,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Dublin,,,1,,,,,,,,,,1,1,1
1City of El Cerrito,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of El Cerrito,,,,1,,,,,,,,,1,1,1
1City of Emeryville,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Emeryville,,,1,,,,,,,,,,1,1,1
1City of Fairfax,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Fairfax,,,,,1,,,,,,,,1,1,1
1City of Fairfield,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Fairfield,,,,,,,,,,1,,,1,1,1
1City of Foster City,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Foster City,,,,,,,,1,,,,,1,1,1
1City of Fremont,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Fremont,,,1,,,,,,,,,,1,1,1
1City of Hayward,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Hayward,,,1,,,,,,,,,,1,1,1
1City of Healdsburg,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Healdsburg,,,,,,,,,,,1,,1,1,1
1City of Larkspur,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Larkspur,,,,,1,,,,,,,,1,1,1
1City of Livermore,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Livermore,,,1,,,,,,,,,,1,1,1
1City of Los Altos Hills,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Los Altos Hills,,,,,,,,,1,,,,1,1,1
1City of Los Gatos,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Los Gatos,,,,,,,,,1,,,,1,1,1
1City of Martinez,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Martinez,,,,1,,,,,,,,,1,1,1
1City of Menlo Park,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Menlo Park,,,,,,,,1,,,,,1,1,1
1City of Mill Valley,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Mill Valley,,,,,1,,,,,,,,1,1,1
1City of Millbrae,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Millbrae,,,,,,,,1,,,,,1,1,1
1City of Milpitas,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Milpitas,,,,,,,,,1,,,,1,1,1
1City of Morgan Hill,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Morgan Hill,,,,,,,,,1,,,,1,1,1
1City of Mountain View,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Mountain View,,,,,,,,,1,,,,1,1,1
1City of Napa,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Napa,,,,,,1,,,,,,,1,1,1
1City of Newark,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Newark,,,1,,,,,,,,,,1,1,1
1City of Novato,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Novato,,,,,1,,,,,,,,1,1,1
1City of Oakland,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Oakland,,,1,,,,,,,,,,1,1,1
1City of Oakley,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Oakley,,,,1,,,,,,,,,1,1,1
1City of Palo Alto,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Palo Alto,,,,,,,,,1,,,,1,1,1
1City of Petaluma,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Petaluma,,,,,,,,,,,1,,1,1,1
1City of Piedmont,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Piedmont,,,1,,,,,,,,,,1,1,1
1City of Pinole,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Pinole,,,,1,,,,,,,,,1,1,1
1City of Pittsburg,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Pittsburg,,,,1,,,,,,,,,1,1,1
1City of Pleasanton,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Pleasanton,,,1,,,,,,,,,,1,1,1
1City of Redwood City,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Redwood City,,,,,,,,1,,,,,1,1,1
1City of Richmond,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Richmond,,,,1,,,,,,,,,1,1,1
1City of Rohnert Park,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Rohnert Park,,,,,,,,,,,1,,1,1,1
1City of Ross,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Ross,,,,,1,,,,,,,,1,1,1
1City of San Jose,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of San Jose,,,,,,,,,1,,,,1,1,1
1City of San Leandro,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of San Leandro,,,1,,,,,,,,,,1,1,1
1City of San Mateo,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of San Mateo,,,,,,,,1,,,,,1,1,1
1City of San Pablo,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of San Pablo,,,,1,,,,,,,,,1,1,1
1City of San Rafael,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of San Rafael,,,,,1,,,,,,,,1,1,1
1City of San Ramon,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of San Ramon,,,,1,,,,,,,,,1,1,1
1City of Santa Clara,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Santa Clara,,,,,,,,,1,,,,1,1,1
1City of Santa Monica,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Santa Monica,1,,,,,,,,,,,,0,1,0
